Date,yhat,avg_1y,forward_avg_1y
2023-07-18,57438.20205062077,50619.564630136985,54821.61441369863
2023-07-19,57446.58122590542,50678.14211780822,54827.90106027398
2023-07-20,57424.796063723676,50724.50566027397,54875.85789041095
2023-07-21,57429.16063139927,50898.74230958904,54962.40541643835
2023-07-22,57462.46189119549,50874.25230136986,54805.51701643835
2023-07-23,57506.01053063294,50875.82904383561,54749.87019726028
2023-07-24,57546.32774066754,50939.9258849315,54874.32514794521
2023-07-25,57535.3724403524,50948.75083013698,54912.03545479452
2023-07-26,57498.58724502985,50932.14979452055,54938.162438356165
2023-07-27,57461.67484229589,50931.15306849314,54974.4742739726
2023-07-28,57409.81026609388,50988.93658630137,55008.588098630134
2023-07-29,57387.633269963175,50905.42560273972,54911.837682191785
2023-07-30,57386.04414773263,50874.99776712329,54888.56073150685
2023-07-31,57370.76660399829,50937.352024657535,54946.63549041096
2023-08-01,57332.845874413615,50929.116950684926,54950.17524109589
2023-08-02,57296.393828904525,50928.936043835616,54963.1662630137
2023-08-03,57236.06298704299,50932.670843835615,54992.86713150684
2023-08-04,57143.59032565065,51020.281539726035,55102.63500821918
2023-08-05,57068.585649796616,50949.263427397265,55029.168569863
2023-08-06,57018.26689050958,50928.51747671233,55024.992520547945
2023-08-07,56970.11382486516,50967.92577260274,55060.50199452055
2023-08-08,56941.53978725864,50973.66905205479,55056.09127123287
2023-08-09,56928.11397471425,50968.89972054795,55068.09627945206
2023-08-10,56922.51020880088,50964.29009863014,55074.348608219174
2023-08-11,56859.61300175555,51111.693216438354,55190.67623561644
2023-08-12,56830.238538970894,51067.73181369863,55066.57193150685
2023-08-13,56811.829207020746,51036.27053424658,55090.42566027396
2023-08-14,56778.3054635802,51051.81493698631,55205.42990958905
2023-08-15,56748.55960809344,51042.07513150685,55228.371139726034
2023-08-16,56720.56639198197,51062.94465205479,55290.49987945206
2023-08-17,56702.990398026646,51047.04332054794,55386.84029041096
2023-08-18,56693.4798041577,51170.621482191775,55706.15207671233
2023-08-19,56678.54922780643,51049.50963013698,55588.00037808219
2023-08-20,56674.3840252197,51034.32563561644,55579.94290684932
2023-08-21,56657.32163080402,51129.080794520545,55664.83499178082
2023-08-22,56634.588823084254,51241.66329589041,55743.953961643834
2023-08-23,56605.96495391942,51251.2337369863,55701.2856630137
2023-08-24,56578.66741476433,51330.60453150685,55785.39235890411
2023-08-25,56518.49933153565,51443.45530136987,55948.15254246575
2023-08-26,56459.76298872877,51266.07977534247,55760.783372602746
2023-08-27,56403.180342770545,51189.16408219178,55754.16486849316
2023-08-28,56319.78225974085,51271.261227397255,55873.01333972602
2023-08-29,56230.86699075506,51349.90028219178,55950.93495342466
2023-08-30,56157.47869414271,51210.77155068492,55957.37679178082
2023-08-31,56088.583417211,51274.4583780822,56028.65261917808
2023-09-01,56013.479463627074,51221.43459452055,56156.58346027397
2023-09-02,55934.92945693054,51039.73605205479,56075.1857260274
2023-09-03,55857.020434425765,51037.407547945215,56114.69159452055
2023-09-04,55787.766263348116,51151.22666027397,56284.12960821918
2023-09-05,55730.79848445198,51237.717073972606,56372.51249041096
2023-09-06,55663.496219000226,51126.269123287675,56309.98543835616
2023-09-07,55607.30391405521,51157.74981095891,56395.727983561635
2023-09-08,55547.54712870933,51116.78282739726,56543.12144657534
2023-09-09,55480.32271537617,50891.28166027397,56417.185704109594
2023-09-10,55417.8049445079,50949.3635150685,56398.7057369863
2023-09-11,55361.31355513107,51074.07819726027,56458.20279178082
2023-09-12,55319.735802962874,51111.698813698626,56573.10946027397
2023-09-13,55291.362361407475,51048.825736986306,56666.53907123287
2023-09-14,55267.03399401597,51067.31960273973,56738.032306849316
2023-09-15,55213.265077327545,51074.11819178082,56742.756482191784
2023-09-16,55151.12197632192,50935.98521369863,56605.266482191786
2023-09-17,55084.07728012781,50937.395232876705,56571.51507123288
2023-09-18,55036.423634668245,51177.8674,56670.97600821918
2023-09-19,54977.24093635588,51241.49540000001,56607.76777808219
2023-09-20,54897.02951265931,51158.11193150685,56560.49052876711
2023-09-21,54790.57667628646,51391.622136986305,56713.15712602741
2023-09-22,54673.48474953434,51336.031057534245,56611.98788219178
2023-09-23,54568.480834885166,51244.72895890411,56581.32117260274
2023-09-24,54477.528033377406,51261.34736712329,56579.483002739726
2023-09-25,54412.79936668512,51381.96590684932,56678.705632876714
2023-09-26,54321.00469260847,51393.49980273972,56795.8544328767
2023-09-27,54225.07850914794,51274.18088493151,56795.14494246575
2023-09-28,54122.20196832831,51277.89370958904,56935.3486219178
2023-09-29,54012.15153275489,51276.273284931514,57097.69551232877
2023-09-30,53892.66094342844,51152.7995260274,56930.52508219177
2023-10-01,53768.48198518627,51154.1065260274,56902.32469863014
2023-10-02,53659.83022924821,51326.04283013699,57140.02390684932
2023-10-03,53606.02507757725,51484.88575068494,57378.51489863014
2023-10-04,53543.868555550034,51396.24824657534,57278.485353424665
2023-10-05,53506.94797980957,51518.560517808226,57548.13186027398
2023-10-06,53478.68150656063,51497.82675342465,57488.52375616438
2023-10-07,53438.55004819507,51407.06415342465,57373.1693890411
2023-10-08,53384.55342321568,51427.58749041096,57385.02123013699
2023-10-09,53328.53260160454,51573.75873424657,57552.47387397261
2023-10-10,53307.392164130906,51665.25635068493,57686.77387123287
2023-10-11,53272.259410055056,51592.07781643835,57648.41681369863
2023-10-12,53371.280954304515,51973.527654794525,57804.01880547945
2023-10-13,53451.942642280344,51904.52369315068,57437.429635616434
2023-10-14,53497.66593744597,51713.77469041095,57184.37585479452
2023-10-15,53523.95158321354,51726.128093150684,57187.56992054795
2023-10-16,53491.119131281055,51834.949090410955,57380.85132054795
2023-10-17,53489.22214847639,51917.85310958904,57656.62946575342
2023-10-18,53465.67702997645,51777.93171232876,57712.35253150685
2023-10-19,53447.94146807488,51777.39422465754,57901.8009369863
2023-10-20,53440.762397380844,51973.212232876715,57953.176446575344
2023-10-21,53429.80413215999,51770.94411232877,57573.40022465754
2023-10-22,53406.669200470424,51787.331186301366,57534.95292876712
2023-10-23,53392.49637510957,51919.276561643834,57686.43244383562
2023-10-24,53355.78859974963,52068.46558356164,57841.11844383562
2023-10-25,53350.52071039523,52150.705742465754,57756.697838356165
2023-10-26,53343.54471681022,52280.40698082191,57862.58139726026
2023-10-27,53369.24873509371,52368.91850684931,58024.681241095896
2023-10-28,53373.55640958029,52236.685619178075,57904.85872602739
2023-10-29,53358.72282671366,52249.18050410959,57892.81514246575
2023-10-30,53368.606356253236,52440.704073972614,58031.106413698624
2023-10-31,53406.46584573227,52632.18240273972,58177.26309589041
2023-11-01,53402.759645357044,52520.96622465753,58070.58664931507
2023-11-02,53404.872524704886,52505.7438,58073.12376438357
2023-11-03,53448.63004097786,52354.807049315066,58284.14577260274
2023-11-04,53485.777841714655,52247.96094246576,58137.459109589036
2023-11-05,53484.01763776453,52224.59439726027,58134.133947945214
2023-11-06,53509.996312130745,52389.205367123286,58435.90589863014
2023-11-07,53541.37753338576,52405.49107671232,58575.769284931506
2023-11-08,53595.63966931161,52432.290575342464,58553.80163287671
2023-11-09,53656.151522319284,52569.86676986301,58602.65969589041
2023-11-10,53631.987560788344,52443.83238356165,58407.12352328767
2023-11-11,53586.116462383085,52332.78993972602,58278.5811780822
2023-11-12,53576.98394230506,52331.47804657534,58253.410460273975
2023-11-13,53618.1351617902,52594.195534246566,58571.92223013699
2023-11-14,53656.94876400381,52787.66750136986,58616.67661369863
2023-11-15,53707.94404170214,52687.57395342466,58483.43289589041
2023-11-16,53746.85610808261,52802.04325479452,58761.555926027395
2023-11-17,53758.91689283642,52596.66642739726,58643.27856986301
2023-11-18,53786.02843348949,52500.7976109589,58511.16533972602
2023-11-19,53803.57370418173,52511.15290410959,58457.47159178083
2023-11-20,53812.22515631119,52732.67824657535,58767.64759178082
2023-11-21,53821.80402639667,52854.85055890411,58983.00123835616
2023-11-22,53829.027646014234,52750.247306849305,59132.267284931506
2023-11-23,53781.54226196947,52745.55220273973,59585.25544109589
2023-11-24,53730.98504605079,52698.02296712328,59693.99061369863
2023-11-25,53697.711424427165,52582.783490410955,59496.198476712336
2023-11-26,53668.71800886748,52599.31743561644,59433.083109589046
2023-11-27,53657.785080206624,52986.4726109589,59692.56057260274
2023-11-28,53650.25380816899,53119.68230136986,59691.435191780816
2023-11-29,53645.54953130766,53130.69928767124,59745.20321369863
2023-11-30,53641.16563503978,53306.61164931507,59984.38172328767
2023-12-01,53595.681714277634,53195.20098630138,59921.82087397261
2023-12-02,53554.94513503739,53114.09006027398,59855.70372876713
2023-12-03,53526.1190922908,53120.66129315069,59868.68648219179
2023-12-04,53496.19142391317,53360.128679452064,60215.86390958904
2023-12-05,53465.076065305424,53554.78889863013,60482.48295616439
2023-12-06,53463.11940248095,53547.02281643835,60401.71720547944
2023-12-07,53444.906658517684,53711.87787123288,60475.62247123288
2023-12-08,53383.003244119165,53484.94833972602,60265.14157808219
2023-12-09,53328.49747849118,53383.2912109589,60184.00829041096
2023-12-10,53277.08098061131,53388.585539726024,60146.01556986302
2023-12-11,53224.64825653761,53673.66804657534,60393.32362465753
2023-12-12,53197.136969806175,53838.08637534247,60436.09447671233
2023-12-13,53184.42171578207,53742.23030410959,60304.54661917808
2023-12-14,53164.11146837809,53822.106810958896,60464.3512739726
2023-12-15,53125.51673674945,53632.05594520547,60371.93193150685
2023-12-16,53082.486621390926,53469.663158904106,60288.1336739726
2023-12-17,53043.87562312315,53470.00114246575,60274.48662739726
2023-12-18,52984.358827266995,53583.789860273966,60497.13265479452
2023-12-19,52963.55406483407,53840.64321917809,60616.097926027396
2023-12-20,52927.256607098716,53673.640602739724,60406.54470136987
2023-12-21,52859.846707529214,53681.83116164383,60561.148591780824
2023-12-22,52763.75954125825,53618.82991780822,60563.28341917808
2023-12-23,52696.1403428041,53550.34030684932,60545.27385479452
2023-12-24,52649.9454252555,53553.7855369863,60548.76464931507
2023-12-25,52560.29599229943,53546.930232876715,60570.1708739726
2023-12-26,52443.10037462879,53546.45031780822,60584.13741095891
2023-12-27,52340.02798071232,53533.02589863014,60564.996969863016
2023-12-28,52220.48119109412,53519.54871232877,60582.54960821918
2023-12-29,52120.74025474385,53527.040947945214,60641.66962739726
2023-12-30,52045.071447473,53486.60110136986,60618.892602739725
2023-12-31,51992.51888073456,53486.34913424658,60610.213545205486
2024-01-01,51907.90060188937,53489.72049041097,60637.76156164384
2024-01-02,51805.41404143682,53506.77699452054,60634.409309589035
2024-01-03,51720.73841621687,53512.69948767123,60611.30687945205
2024-01-04,51641.410075571475,53513.43366849314,60601.614402739724
2024-01-05,51556.67372052021,53516.400241095886,60602.50755890411
2024-01-06,51462.44282119495,53501.92032054794,60584.38384931506
2024-01-07,51371.90607378817,53497.00275068494,60584.01231506849
2024-01-08,51286.69753736598,53611.82952328767,60713.30075342465
2024-01-09,51219.9312828122,53706.00673972602,60774.73047671232
2024-01-10,51158.9071277888,53574.391397260275,60624.83447945206
2024-01-11,51138.65409307866,53662.83383013698,60519.70531232876
2024-01-12,51128.69189656941,53483.93974794521,60314.05634246576
2024-01-13,51094.45202820922,53449.78077260273,60250.768506849316
2024-01-14,51054.68811689982,53445.79228767124,60243.450046575344
2024-01-15,51067.26398264138,53721.04883835617,60234.6284739726
2024-01-16,51102.268616966685,53790.74390136986,59951.868813698624
2024-01-17,51133.81193688906,53642.653142465766,59631.71129589041
2024-01-18,51204.302259408694,53719.36383287672,59458.0373260274
2024-01-19,51303.55737140462,53455.91856164383,59234.61333424657
2024-01-20,51367.60822365551,53257.846380821924,59037.81262739727
2024-01-21,51408.97020201812,53240.87768219178,59027.479723287666
2024-01-22,51481.585734619606,53463.9902520548,59025.035632876716
2024-01-23,51568.304160015316,53604.639309589045,58798.79698082192
2024-01-24,51644.700416588305,53522.23949041096,58515.032476712324
2024-01-25,51755.025184568905,53653.1578520548,58376.24044657534
2024-01-26,51867.599680306055,53501.09279178082,58133.06100547945
2024-01-27,51950.177984441594,53471.18815616439,58004.79678630137
2024-01-28,52015.65751859768,53473.774975342465,57970.191054794515
2024-01-29,52090.41053649284,53584.71603835617,57953.75378082191
2024-01-30,52177.05479456215,53693.834161643834,57834.56769041096
2024-01-31,52238.7664015025,53586.81913150685,57538.53897534247
2024-02-01,52320.64706387831,53667.989575342464,57434.77209589042
2024-02-02,52389.40920629852,53469.83918630137,57244.45293424657
2024-02-03,52444.36322931022,53423.55051780822,57217.868506849314
2024-02-04,52485.680161964694,53428.658915068496,57204.97599726028
2024-02-05,52530.95835255931,53563.291290410954,57421.89460821918
2024-02-06,52543.01549517996,53657.569854794514,57511.01629589041
2024-02-07,52551.89103832447,53473.84983561644,57433.77201917808
2024-02-08,52583.606719785756,53562.51673424657,57490.73641369862
2024-02-09,52601.76581220046,53426.197890410964,57242.793312328766
2024-02-10,52615.28443615964,53329.04091780823,57195.79162465753
2024-02-11,52635.69537394416,53325.50458904109,57193.9944
2024-02-12,52647.23774922021,53440.03463287671,57373.18277260274
2024-02-13,52619.32628132549,53442.665095890414,57552.41767945206
2024-02-14,52596.10433519043,53362.407441095886,57580.82202739727
2024-02-15,52588.022556874115,53501.95533424658,57588.52516986301
2024-02-16,52612.0361198443,53417.691865753426,57435.7371369863
2024-02-17,52634.751043475255,53302.390660273966,57276.74552602741
2024-02-18,52663.57970484907,53266.565783561644,57275.96700273973
2024-02-19,52677.95368438447,53360.171646575334,57485.39593150685
2024-02-20,52643.19107291962,53374.613109589045,57656.98182739726
2024-02-21,52632.15880085121,53434.73698356165,57666.63341643836
2024-02-22,52600.5038547011,53499.582320547954,57701.5567369863
2024-02-23,52567.57483882191,53427.57676164383,57646.59675342465
2024-02-24,52541.52106305783,53210.64563561644,57587.523378082195
2024-02-25,52517.68743202816,53202.081353424655,57564.76608219178
2024-02-26,52509.49313591616,53414.58095342466,57693.13602739727
2024-02-27,52509.759623190366,53549.76580273973,57633.706734246574
2024-02-28,52512.6457628761,53490.37993972604,57510.990449315075
2024-02-29,52564.03805234287,53769.52616164383,57607.30224383561
2024-03-01,52609.07668793615,53717.90313424658,57340.73591232877
2024-03-02,52660.168740776026,53689.46795616438,57263.247090410965
2024-03-03,52731.475504605674,53686.14394520548,57235.73224931507
2024-03-04,52761.717026514736,53848.66407671233,57332.72408767123
2024-03-05,52811.847230307205,54003.23239726028,57304.166578082186
2024-03-06,52862.24562017573,53796.83634246576,57135.89122191781
2024-03-07,52844.84381396901,53813.56796438356,57244.43415068493
2024-03-08,52848.66754285875,53650.57266849315,57149.88695616438
2024-03-09,52856.601232570116,53422.997893150685,57113.55052328767
2024-03-10,52860.6161553847,53414.898865753436,57109.4233369863
2024-03-11,52899.33650626454,53707.77111780822,57311.439257534235
2024-03-12,52953.973524294226,53761.29438356164,57287.926832876714
2024-03-13,53003.079915031194,53597.76835616438,57176.834679452055
2024-03-14,53032.980507022236,53606.88590136987,57270.12036986301
2024-03-15,53084.820379543984,53510.27207397261,57215.50240547945
2024-03-16,53163.75379028156,53477.41336986301,57094.70532876712
2024-03-17,53247.08829302135,53496.62475342466,57045.16197260274
2024-03-18,53312.52205387026,53626.63655342466,57250.955778082185
2024-03-19,53333.3751651207,53676.40408767124,57516.97569315068
2024-03-20,53351.11412859583,53522.7852739726,57586.33784931506
2024-03-21,53336.95882070092,53499.03709589041,57757.54238082192
2024-03-22,53351.577256586184,53487.07047945205,57757.34172054795
2024-03-23,53376.20926130262,53379.97886027398,57612.27793150685
2024-03-24,53402.81735863261,53348.26162465753,57573.42549041096
2024-03-25,53430.62160614118,53509.22247397261,57743.64693972603
2024-03-26,53440.128457597566,53550.50593972602,57827.29940273972
2024-03-27,53453.999096562795,53492.8271260274,57773.25836712329
2024-03-28,53417.57896097328,53699.0263780822,57982.43397260274
2024-03-29,53412.31867300556,53761.53574794521,
2024-03-30,53421.362663209824,53577.48762739726,
2024-03-31,53435.96413825878,53560.81596986301,
2024-04-01,53431.32663385464,53591.224575342465,
2024-04-02,53437.24107621581,53615.82575616438,
2024-04-03,53469.15697822682,53549.81469041096,
2024-04-04,53533.46055027135,53679.09365205479,
2024-04-05,53536.418539052385,53365.4289150685,
2024-04-06,53554.83266635648,53188.18510136987,
2024-04-07,53578.70699139526,53181.02804657534,
2024-04-08,53599.54289761413,53340.32345753424,
2024-04-09,53613.40914469689,53542.74964383562,
2024-04-10,53601.0292712886,53396.86264657534,
2024-04-11,53588.64750846609,53459.51950958904,
2024-04-12,53573.21166897116,53329.854624657535,
2024-04-13,53570.16859220529,53159.323178082195,
2024-04-14,53576.87357053648,53142.15450958903,
2024-04-15,53586.752483021664,53334.77535890411,
2024-04-16,53596.917861372676,53552.85327945204,
2024-04-17,53620.02894312346,53562.14213972602,
2024-04-18,53705.92421949452,53737.81143835617,
2024-04-19,53800.72129719252,53736.665227397265,
2024-04-20,53877.84610789134,53609.35613424658,
2024-04-21,53965.49139575484,53574.491805479454,
2024-04-22,54040.908171147144,53713.553515068495,
2024-04-23,54104.20606690607,53782.43272876712,
2024-04-24,54139.58822897986,53802.05747123288,
2024-04-25,54167.03194353782,53895.288821917806,
2024-04-26,54228.24294493081,54054.07668493151,
2024-04-27,54276.69341956547,53890.91854520548,
2024-04-28,54329.36850749054,53894.04841643835,
2024-04-29,54364.713028855556,54052.24782739727,
2024-04-30,54328.264025165,53856.654101369866,
2024-05-01,54300.93583617558,53911.006528767124,
2024-05-02,54250.17578946128,53872.198997260275,
2024-05-03,54296.213615054556,54161.29277260274,
2024-05-04,54315.12850206782,53869.620945205475,
2024-05-05,54329.09794880157,53867.458536986305,
2024-05-06,54324.992342571924,53942.65289041096,
2024-05-07,54299.02708908564,53941.814309589034,
2024-05-08,54298.2209883911,53809.81733698629,
2024-05-09,54256.34531356311,53674.81757260274,
2024-05-10,54184.42485895236,53514.261882191786,
2024-05-11,54119.081092889,53403.38131780823,
2024-05-12,54093.115997841836,53527.15881643835,
2024-05-13,54042.592829017965,53714.739013698636,
2024-05-14,54010.89646788005,53917.94350410959,
2024-05-15,53988.77823509011,53941.52744383562,
2024-05-16,53945.59506091543,53892.64524657535,
2024-05-17,53969.318615560296,54201.38790410959,
2024-05-18,53994.081475626575,54211.70838630137,
2024-05-19,54003.338333113665,54200.15283013698,
2024-05-20,53979.24526911404,54163.55777260274,
2024-05-21,54007.285307980485,54479.885608219185,
2024-05-22,54009.49322389635,54464.08856712329,
2024-05-23,54000.888076020936,54578.76067671233,
2024-05-24,54036.95609815175,54706.272657534246,
2024-05-25,54091.382232790915,54418.847676712336,
2024-05-26,54147.61025211994,54437.248054794516,
2024-05-27,54181.77872819176,54607.20784383561,
2024-05-28,54236.88787256511,54889.53440273973,
2024-05-29,54293.92862702978,54836.341884931506,
2024-05-30,54383.36355238526,55012.56423013698,
2024-05-31,54464.53859809795,54993.78366575342,
2024-06-01,54556.51053485861,54874.81849589042,
2024-06-02,54639.350643804784,54907.42099726028,
2024-06-03,54735.59536869678,55027.630849315065,
2024-06-04,54773.13913723128,54966.78639178082,
2024-06-05,54814.567832925524,54892.40525205479,
2024-06-06,54878.059437986296,54913.14445753424,
2024-06-07,54941.33610737074,54840.136246575334,
2024-06-08,54984.73301317433,54623.893098630135,
2024-06-09,54999.53278035351,54609.03795616438,
2024-06-10,55089.78844270444,54842.44082465753,
2024-06-11,55203.59179658822,54855.45077534246,
2024-06-12,55294.53418560828,54673.21804657535,
2024-06-13,55425.86540383401,54641.16694246575,
2024-06-14,55542.59101287766,54597.44549589042,
2024-06-15,55619.35528289865,54347.60197808219,
2024-06-16,55675.12022696422,54351.82012876712,
2024-06-17,55765.60819057934,54475.43512054794,
2024-06-18,55883.5410803766,54536.79002465754,
2024-06-19,56001.53864178205,54413.27249589041,
2024-06-20,56134.81234984815,54426.07422739726,
2024-06-21,56283.17726430716,54439.19996712329,
2024-06-22,56407.76496112804,54153.59734246576,
2024-06-23,56511.93573931434,54121.50406575342,
2024-06-24,56633.8548513399,54260.85595342466,
2024-06-25,56748.10274860637,54305.23383013698,
2024-06-26,56874.91210132558,54333.72301643836,
2024-06-27,56996.18671343664,54436.512726027395,
2024-06-28,57127.0929601924,54520.92095068493,
2024-06-29,57279.11451747842,54432.474320547946,
2024-06-30,57439.71871003043,54473.5387780822,
2024-07-01,57557.69379822269,54599.23781917809,
2024-07-02,57675.28420857649,54735.70866849316,
2024-07-03,57783.74506493975,54681.42299178081,
2024-07-04,57870.03546738497,54664.43149315069,
2024-07-05,57922.33769197502,54602.957493150694,
2024-07-06,57983.88468024092,54289.49532876713,
2024-07-07,58046.98761892115,54251.73275890411,
2024-07-08,58095.562290123744,54394.98026027398,
2024-07-09,58138.44183185944,54496.16666849315,
2024-07-10,58178.931107379576,54450.191854794524,
2024-07-11,58195.67965056442,54502.8371150685,
2024-07-12,58252.97039062522,54789.966810958904,
2024-07-13,58323.45244302268,54678.51471232877,
2024-07-14,58390.75035317007,54658.12215068493,
2024-07-15,58465.11822349445,54789.57407945205,
2024-07-16,58510.307891685086,54821.61441369863,
2024-07-17,58565.70858889126,54827.90106027398,
2024-07-18,58607.195562192224,54875.85789041095,
2024-07-19,58643.99722894931,54962.40541643835,
2024-07-20,58701.70136076373,54805.51701643835,
2024-07-21,58765.85415786322,54749.87019726028,
2024-07-22,58832.616051389174,54874.32514794521,
2024-07-23,58891.76179382019,54912.03545479452,
2024-07-24,58949.395127963566,54938.162438356165,
2024-07-25,58963.63375642407,54974.4742739726,
2024-07-26,58967.93106423426,55008.58809863015,
2024-07-27,58998.45618858767,54911.837682191785,
2024-07-28,59035.57285167614,54888.560731506856,
2024-07-29,59070.77022237741,54946.63549041096,
2024-07-30,59114.667413549774,54950.17524109589,
2024-07-31,59137.17661041286,54963.1662630137,
2024-08-01,59128.636559026716,54992.86713150686,
2024-08-02,59102.6841141568,55102.63500821918,
